,SYMBOL,Quantity Traded,Price,Total Amount,Client Name
0,AGRITECH,-80547,281.1733333333333,"-2,26,47,668","['ABHINAV KATHURIA', 'INDRA KIRAN VENTURES', 'MUDUPULAVEMULA SURENDRANADHA REDDY', 'NK SECURITIES RESEARCH PRIVATE LIMITED', 'YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .']"
1,AHLEAST,-120000,129.12,"-1,54,94,400",['WHITEPIN  TIE UP  LIMITED']
2,APEX,131818,304.6525,"4,01,58,683","['HRTI PRIVATE LIMITED', 'NK SECURITIES RESEARCH PRIVATE LIMITED', 'QE SECURITIES LLP', 'SHARE INDIA SECURITIES LIMITED', 'STOCK VERTEX VENTURES', 'YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .']"
3,ARROWGREEN,-5418,665.17,"-36,03,891","['MAGPRO SECURITIES PVT LTD', 'QE SECURITIES LLP']"
4,AVANTIFEED,235687,723.96,"17,06,27,960","['HRTI PRIVATE LIMITED', 'QE SECURITIES LLP']"
5,AWHCL,13437,785.435,"1,05,53,890","['HRTI PRIVATE LIMITED', 'QE SECURITIES LLP']"
6,AXITA,-395752,25.92,"-1,02,57,891","['HRTI PRIVATE LIMITED', 'QE SECURITIES LLP']"
7,BASML,91323,61.035,"55,73,899",['PARTH INFIN BROKERS PVT LTD']
8,CELEBRITY,-787722,17.28,"-1,36,11,836",['CHARATH RAM NARSIMHAN']
9,GANGAFORGE,-4740980,7.256666666666667,"-3,44,03,711",['SWETSAM STOCK HOLDING PRIVATE LIMITED']
10,GPPL,2534990,232.5,"58,93,85,175",['PLUTUS WEALTH MANAGEMENT LLP']
11,HCC,-4306507,53.695,"-23,12,37,893",['HRTI PRIVATE LIMITED']
12,IEL,-4311000,10.76,"-4,63,86,360",['STEADVIEW CAPITAL MAURITIUS LIMITED']
13,IFCI,140901,86.725,"1,22,19,639",['HRTI PRIVATE LIMITED']
14,LAMBODHARA,-66000,175.54,"-1,15,85,640",['ARHAM SHARE PRIVATE LIMITED']
15,MTNL,2342368,92.9675,"21,77,64,097","['MANSI SHARE AND STOCK ADVISORS PVT LTD', 'SETU SECURITIES PVT LTD']"
16,NDLVENTURE,-490477,120.02499999999999,"-5,88,69,501",['RELIANCE VALUE SERVICES PRIVATE LIMITED']
17,ORIENTCEM,1451414,351.38,"50,99,97,851",['CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD']
18,PATINTLOG,-56863,27.130000000000003,"-15,42,693",['HRTI PRIVATE LIMITED']
19,RUSHIL,-172976,355.63,"-6,15,15,454",['SUMANT KAPUR']
20,STCINDIA,-26018,225.80499999999998,"-58,74,994","['NK SECURITIES RESEARCH PRIVATE LIMITED', 'QE SECURITIES LLP']"
21,YAARI,-2419000,8.997499999999999,"-2,17,64,952","['ANIL KANTIPRASAD PODDAR', 'STEADVIEW CAPITAL MAURITIUS LIMITED']"
